Entity,Code,Year_x,"GDP per capita, PPP (constant 2017 international $)",Harmonized national poverty line_y,Mean income or consumption,population_y,Poverty headcount ratio at national poverty lines (% of population),Latitude (generated),Longitude (generated),Continent
Ireland,IRL,2021,104671.875,26.45381941,59.14943,4986525,13.8,53.214,-7.588,Europe
Israel,ISR,2021,42379.156,17.03177086,39.785995,8900057,16.9,30.992,34.834,Asia
Italy,ITA,2021,42562.555,22.85422369,51.568474,59240336,18.9,44.3713,11.1084,Europe
Jamaica,JAM,2021,9605.191,5.121833401,20.378366,2827701,18.7,18.163,-77.477,North America
Jordan,JOR,2021,9380.045,7.923623534,,11148288,15.7,30.681,36.279,Asia
Kazakhstan,KAZ,2021,26110.53,4.58607829,13.326654,19196468,4.3,48.866,69.772,Asia
Kenya,KEN,2021,4745.637,2.414777829,3.591902,53005616,46.8,0.806,38.166,Africa
Kiribati,KIR,2021,2007.987,2.727561899,,128883,21.9,2.048,-158.59,Oceania
Kosovo,OWID_KOS,2021,11884.182,6.350940755,,1662022,22.9,42.546,20.921,Europe
Kyrgyzstan,KGZ,2021,4910.0864,4.076123403,7.0378127,6527742,39.9,41.741,75.043,Asia
Laos,LAO,2021,7846.975,2.845496793,,7425055,18.3,19.595,102.538,Asia
Latvia,LVA,2021,31833.842,15.22250803,37.107952,1873926,19.4,57.017,25.0173,Europe
Lebanon,LBN,2021,12986.913,18.73674173,,5592626,27.4,34.161,36.021,Asia
Lesotho,LSO,2021,2239.3052,3.217914896,,2281464,56.6,-29.446,28.371,Africa
Liberia,LBR,2021,1423.2296,3.134714543,,5193422,54.1,6.51,-9.33,Africa
Lithuania,LTU,2021,39432.402,16.55337176,45.038624,2786652,20.5,55.342,24.23,Europe
Luxembourg,LUX,2021,118510,36.33379784,93.09304,639330,17.4,49.671,6.113,Europe
Madagascar,MDG,2021,1482.3761,1.643309275,,28915652,70.8,-19.615,46.645,Africa
Malawi,MWI,2021,1491.1337,1.684936508,,19889742,52.4,-13.2731,33.7428,Africa
Malaysia,MYS,2021,26407.316,8.002602798,34.740494,33573872,6.2,4.416,102.099,Asia
Maldives,MDV,2021,18757.78,7.753761299,,521469,5.4,4.221,73.463,Asia
Mali,MLI,2021,2120.6233,1.95249824,4.359942,21904990,50.9,18.211,-2.209,Africa
Malta,MLT,2021,46598.96,26.13413065,,526751,14.3,35.9024,14.4137,Europe
Mauritania,MRT,2021,5142.2812,3.948635759,,4614981,34.3,19.413,-10.6528,Africa
Mauritius,MUS,2021,20915.217,6.241455903,,1298922,7.9,-20.2529,57.5902,Africa
Mexico,MEX,2021,19617.76,8.959679075,,126705136,43.6,22.925,-101.68,North America
Micronesia (country),FSM,2021,3320.9114,3.659898234,,113143,41.2,,,Oceania
Moldova,MDA,2021,13703.939,5.912056454,12.111857,3061509,25.2,47.524,28.444,Europe
Mongolia,MNG,2021,11668.431,5.8689063,,3347782,38.8,46.516,102.564,Asia
Montenegro,MNE,2021,20710.535,8.440147652,18.89075,627856,25.2,42.857,19.096,Europe
Morocco,MAR,2021,8065.986,2.91261337,,37076588,15.3,31.129,-7.355,Africa
Mozambique,MOZ,2021,1231.8641,1.494647873,,32077074,54.1,-13.852,38.042,Africa
Myanmar,MMR,2021,4113.8936,3.963136106,,53798088,48.2,21.841,96.05,Asia
Namibia,NAM,2021,9208.583,2.318059777,,2530150,37.7,-21.276,17.219,Africa
Nepal,NPL,2021,3853.6802,2.926354306,,30034988,25.2,28.2114,83.5608,Asia
Netherlands,NLD,2021,57334.703,31.09812698,65.26765,17501696,12.7,52.1704,5.0102,Europe
Nicaragua,NIC,2021,5692.035,5.273547729,,6850546,45.8,12.692,-85.03,North America
Niger,NER,2021,1186.53,1.871222714,2.689935,25252722,40.8,16.996,9.915,Africa
Nigeria,NGA,2021,4922.6323,2.518138173,,213401328,40.1,9.3417,7.678,Africa
North Macedonia,MKD,2021,16708.598,6.667885768,,2103329,27,41.636,21.676,Europe
Norway,NOR,2021,65915.53,37.79594895,,5403021,10.8,61.3701,9.3031,Europe
Pakistan,PAK,2021,5233.4595,2.988531436,,231402112,64.3,28.1854,66.6429,Asia
Palestine,PSE,2021,5641.0444,8.112209111,,5133393,25.7,32.097,35.26,Asia
Panama,PAN,2021,30416.793,9.699173603,30.866827,4351264,37.9,8.348,-81.005,North America
Papua New Guinea,PNG,2021,3637.9133,2.162672405,,9949438,39.9,-5.636,142.798,Oceania
Paraguay,PRY,2021,13676.391,7.82039542,17.318586,6703802,57.7,-23.266,-58.409,South America
Peru,PER,2021,12533.842,5.178258356,12.127365,33715464,58.7,-12.664,-72.98,South America
Philippines,PHL,2021,8095.5796,3.013638808,6.5564165,113880336,26.6,17.181,121.256,Asia
Poland,POL,2021,34944.04,10.02423775,38.379868,38307724,11.8,52.442,19.72,Europe
Portugal,PRT,2021,33636.44,15.40818814,36.549534,10290109,20.4,40.957,-7.9373,Europe
Romania,ROU,2021,30946.277,8.727990897,26.430878,19328558,24.6,45.933,25.119,Europe
Russia,RUS,2021,28057.031,9.0362345,,145102752,29,64.736,104.062,Europe
Rwanda,RWA,2021,2237.514,1.729578057,,13461891,39.1,-1.887,29.904,Africa
Saint Lucia,LCA,2021,13045.966,6.757796586,,179663,25,13.909,-60.9776,North America
Samoa,WSM,2021,5534.566,4.732832301,,218781,26.9,-13.6221,-172.439,Oceania
Sao Tome and Principe,STP,2021,3502.4353,4.554199132,,223118,55.5,0.216,6.595,Africa
Senegal,SEN,2021,3511.6375,2.356230567,5.7743273,16876726,55.2,15.044,-15.081,Africa
Serbia,SRB,2021,19860.31,7.27856806,20.05622,7296771,24.5,44.021,20.699,Europe
Seychelles,SYC,2021,27928.373,12.92940016,,106486,39.3,-4.6841,55.4924,Africa
Sierra Leone,SLE,2021,1614.8599,3.244704519,,8420642,62.4,8.677,-11.779,Africa
Slovakia,SVK,2021,32512.695,13.18992531,24.84433,5447621,13.3,48.8595,19.4434,Europe
Slovenia,SVN,2021,40104.36,22.74051324,47.9973,2119408,12.2,46.037,14.534,Europe
Solomon Islands,SLB,2021,2397.3228,1.612953149,,707855,22.7,-9.5987,160.1487,Oceania
South Africa,ZAF,2021,13337.79,5.608950514,,59392256,66.6,-31.7,23.441,Africa
